model_name,optimizer,outcome,term,estimate,std_error,z_value,p_value,ci_low,ci_high,n_obs,n_groups,converged,log_likelihood,aic,bic
acute_mixedlm,lbfgs,healthy_weight_g,C(cultivar)[T.St]:C(heat_level)[T.D]:C(is_control)[T.1],177.92999999999387,200.67518356242394,0.8866567197864068,0.3752637465558989,-215.3861323733213,571.246132373309,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,healthy_weight_g,Group Var,0.13546838279468407,0.2594313133930018,0.5221743706376285,0.6015489289593339,-0.37300764791752317,0.6439444135068914,48,24,True,-301.9272031324024,639.8544062648048,673.5360244611468
acute_mixedlm,lbfgs,pct_rotten_count,Intercept,0.14835294366766072,0.03364589566481808,4.409243408038811,1.0373238303403175e-05,0.08240819993702495,0.2142976873982965,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St],0.01977710484395553,0.04758248196737582,0.4156383615616224,0.6776746512500617,-0.07348284610712764,0.11303705579503871,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(heat_level)[T.B],0.0008170089485143283,0.04758248196737582,0.01717037268199876,0.9863006978790282,-0.09244294200256885,0.09407695989959751,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(heat_level)[T.C],0.049118440085399465,0.04758248196737582,1.032279907531447,0.3019410108012559,-0.044141510865683714,0.14237839103648264,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(heat_level)[T.D],0.0477495586751008,0.047582481967375814,1.0035113071201192,0.3156142241253149,-0.045510392275982366,0.14100950962618397,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(is_control)[T.1],-0.11225824387380785,0.04758247671872589,-2.3592349876489105,0.01831265554854017,-0.2055181845377262,-0.018998303209889503,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St]:C(heat_level)[T.B],-0.08900789092941479,0.0672917913296361,-1.3227154333490698,0.18593002915666812,-0.22089737839068624,0.04288159653185665,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St]:C(heat_level)[T.C],-0.13531499266040062,0.0672917913296361,-2.0108692306546803,0.0443392711610827,-0.2672044801216721,-0.0034255051991291807,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St]:C(heat_level)[T.D],-0.03202190390184764,0.06729179132963609,-0.4758664209871439,0.6341695460786323,-0.16391139136311905,0.09986758355942377,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St]:C(is_control)[T.1],-0.03428470720075255,0.06729178390692406,-0.5094932131413563,0.6104065543082169,-0.16617418011377572,0.09760476571227061,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(heat_level)[T.B]:C(is_control)[T.1],0.00877867076028561,0.06729178390692404,0.13045679948725986,0.8962050309992892,-0.12311080215273752,0.14066814367330874,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(heat_level)[T.C]:C(is_control)[T.1],-0.04353339145875972,0.06729178390692406,-0.6469347211685423,0.5176741929991907,-0.1754228643717829,0.08835608145426344,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(heat_level)[T.D]:C(is_control)[T.1],-0.04082083456991459,0.06729178390692406,-0.6066243484698922,0.5441002378390489,-0.17271030748293775,0.09106863834310858,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
acute_mixedlm,lbfgs,pct_rotten_count,C(cultivar)[T.St]:C(heat_level)[T.B]:C(is_control)[T.1],0.10243077098512404,0.0951649534374515,1.076349719988547,0.28177088010051843,-0.0840891103427121,0.2889506523129602,48,24,True,68.33373715774255,-100.6674743154851,-66.98585611914305
